         172625 function calls (167391 primitive calls) in 0.755 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
       61    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
      586    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      126    0.000    0.000    0.003    0.000 enum.py:284(__call__)
  611/526    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.301    0.301 __init__.py:106(<module>)
       91    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
    71/48    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       23    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        3    0.000    0.000    0.027    0.009 datetimes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
        1    0.000    0.000    0.001    0.001 categorical.py:209(Categorical)
        1    0.000    0.000    0.002    0.002 base.py:177(Index)
        2    0.000    0.000    0.007    0.004 function_base.py:1(<module>)
    55/32    0.000    0.000    0.096    0.003 <frozen importlib._bootstrap_external>:1048(exec_module)
      317    0.000    0.000    0.000    0.000 overrides.py:112(array_function_dispatch)
      277    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
        2    0.000    0.000    0.030    0.015 interval.py:1(<module>)
       95    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      537    0.000    0.000    0.000    0.000 typing.py:613(<genexpr>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
       70    0.000    0.000    0.001    0.000 common.py:30(_unpack_zerodim_and_defer)
       71    0.000    0.000    0.002    0.000 typing.py:633(copy_with)
        1    0.000    0.000    0.003    0.003 integer.py:1(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
       55    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       10    0.000    0.000    0.000    0.000 extension.py:105(wrapper)
