Waiting for CPU move...
Generation of this next move took 7.78 seconds, ran 10000 iterations.
   a b c d e 
 -----------------------
0 |- - - -          5162201 function calls (4314156 primitive calls) in 9.479 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2254    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3353    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
      431    0.001    0.000    0.055    0.000 _decorators.py:330(__call__)
     2692    0.001    0.000    0.001    0.000 inspect.py:2529(kind)
     1500    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      502    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     5325    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1011    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
      670    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1657    0.001    0.000    0.007    0.000 re.py:170(match)
     2082    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
      408    0.001    0.000    0.003    0.000 artist.py:1326(aliased_name)
     3705    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
   260/11    0.001    0.000    0.005    0.000 pyparsing.py:1639(_parseNoCache)
      384    0.001    0.000    0.005    0.000 font_manager.py:883(_json_decode)
      124    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
     2685    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
      618    0.001    0.000    0.005    0.000 _inspect.py:98(getargspec)
     1536    0.001    0.000    0.004    0.000 colors.py:115(_is_nth_color)
       36    0.001    0.000    0.998    0.028 __init__.py:1(<module>)
      588    0.001    0.000    0.214    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      191    0.001    0.000    0.045    0.000 sre_parse.py:919(parse)
     1797    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1392(__init__)
      625    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      502    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     2213    0.001    0.000    0.002    0.000 sre_parse.py:160(__len__)
      618    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:147(__enter__)
      449    0.001    0.000    0.002    0.000 artist.py:1301(_replace_path)
     1420    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
        1    0.001    0.001    0.007    0.007 pyplot.py:2031(_setup_pyplot_info_docstrings)
      503    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      492    0.001    0.000    0.009    0.000 rcsetup.py:374(validate_color)
  495/315    0.001    0.000    0.005    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1563    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
        1    0.001    0.001    0.039    0.039 _axes.py:97(Axes)
     4299    0.001    0.000    0.001    0.000 inspect.py:2517(name)
     1797    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      502    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     3705    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        7    0.001    0.000    0.001    0.000 {method 'write' of '_io.FileIO' objects}
        2    0.001    0.001    0.001    0.001 {built-in method _ctypes.LoadLibrary}
      191    0.001    0.000    0.002    0.000 enum.py:836(__and__)
      362    0.001    0.000    0.001    0.000 typing.py:165(_collect_type_vars)
      109    0.001    0.000    0.006    0.000 deprecation.py:183(deprecate)
      410    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
      170    0.001    0.000    0.002    0.000 typing.py:212(_remove_dups_flatten)
   411/69    0.001    0.000    0.933    0.014 {built-in method builtins.__import__}
   819/13    0.001    0.000    1.625    0.125 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       16    0.001    0.000    0.006    0.000 {built-in method builtins.eval}
     2594    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      161    0.001    0.000    0.001    0.000 _decorators.py:289(__call__)
     1260    0.001    0.000    0.001    0.000 colors.py:249(<genexpr>)
      618    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1023    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      143    0.001    0.000    0.001    0.000 os.py:673(__getitem__)
      827    0.001    0.000    0.001    0.000 functools.py:67(wraps)
      256    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
       86    0.001    0.000    0.001    0.000 docstring.py:38(__call__)
      727    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      594    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.001    0.001    0.001    0.001 datetimes.py:113(DatetimeArray)
     1057    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
