         577251 function calls (565261 primitive calls) in 0.712 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      322    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.002    0.002 pyplot.py:1953(_setup_pyplot_info_docstrings)
       73    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      688    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
     1382    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      506    0.000    0.000    0.016    0.000 re.py:180(search)
       50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
       67    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1482(_guarded_repr_or_str)
      912    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      134    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      667    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
       86    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
       91    0.000    0.000    0.001    0.000 inspect.py:535(_finddoc)
       73    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
     2937    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      322    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      361    0.000    0.000    0.000    0.000 typing.py:706(__setattr__)
      637    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      667    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      451    0.000    0.000    0.004    0.000 colors.py:128(is_color_like)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.216    0.216 pyplot.py:19(<module>)
     3545    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1835(_parseCache)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
      610    0.000    0.000    0.000    0.000 {built-in method torch._C._add_docstr}
      895    0.000    0.000    0.000    0.000 rcsetup.py:192(validator)
      240    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      239    0.000    0.000    0.003    0.000 rcsetup.py:311(validate_color_for_prop_cycle)
       36    0.000    0.000    0.004    0.000 __init__.py:1459(_add_data_doc)
        2    0.000    0.000    0.033    0.017 __init__.py:7(<module>)
      783    0.000    0.000    0.000    0.000 inspect.py:504(_is_wrapper)
      635    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      282    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._autograd_init}
       56    0.000    0.000    0.001    0.000 inspect.py:3035(__str__)
      366    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
        1    0.000    0.000    0.021    0.021 pyparsing.py:96(<module>)
       18    0.000    0.000    0.005    0.000 rcsetup.py:860(validate_cycler)
      110    0.000    0.000    0.003    0.000 rcsetup.py:94(<listcomp>)
       50    0.000    0.000    0.000    0.000 frontend.py:473(build_Name)
      213    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      269    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       67    0.000    0.000    0.001    0.000 pyparsing.py:4442(__init__)
      174    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       50    0.000    0.000    0.001    0.000 typing.py:605(__init__)
      616    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
      364    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       54    0.000    0.000    0.001    0.000 __init__.py:889(_open_file_or_url)
        1    0.000    0.000    0.012    0.012 _axes.py:97(Axes)
      410    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
      364    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        1    0.000    0.000    0.004    0.004 mathtext.py:2822(<listcomp>)
